file_id,entity_id,entity_type,raw_layer,length,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,aspect_ratio,center_x,center_y,start_x,start_y,end_x,end_y,radius,start_angle,end_angle,n_vertices,is_closed,text_content,is_geometric
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__0,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__1,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__2,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__3,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__4,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__5,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__6,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__7,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__8,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__9,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__10,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__11,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__12,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__13,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__14,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__15,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__16,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__17,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__18,INSERT,0,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__19,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
