file_id,entity_id,entity_type,raw_layer,length,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,aspect_ratio,center_x,center_y,start_x,start_y,end_x,end_y,radius,start_angle,end_angle,n_vertices,is_closed,text_content,is_geometric
1623589132Womans hostel with facade design-Ground Floor Plan,1623589132Womans hostel with facade design-Ground Floor Plan__0,LINE,.50,1275.0,-103484.9598911259,256419.8066601605,-103484.9598911259,257694.8066601605,0.0,1275.0,0.0,-103484.9598911259,257057.3066601605,-103484.9598911259,257694.8066601605,-103484.9598911259,256419.8066601605,,,,,,,True
1623589132Womans hostel with facade design-Ground Floor Plan,1623589132Womans hostel with facade design-Ground Floor Plan__1,LINE,.50,1275.0,-103334.9598911259,256419.8066601605,-103334.9598911259,257694.8066601605,0.0,1275.0,0.0,-103334.9598911259,257057.3066601605,-103334.9598911259,257694.8066601605,-103334.9598911259,256419.8066601605,,,,,,,True
1623589132Womans hostel with facade design-Ground Floor Plan,1623589132Womans hostel with facade design-Ground Floor Plan__2,LINE,.50,3350.0,-100334.9598911259,254344.8066601605,-100334.9598911259,257694.8066601605,0.0,3350.0,0.0,-100334.9598911259,256019.8066601605,-100334.9598911259,257694.8066601605,-100334.9598911259,254344.8066601605,,,,,,,True
1623589132Womans hostel with facade design-Ground Floor Plan,1623589132Womans hostel with facade design-Ground Floor Plan__3,LINE,.20,1000.0,-113434.9598911258,257694.8066601605,-113434.9598911258,258694.8066601605,0.0,1000.0,0.0,-113434.9598911258,258194.8066601605,-113434.9598911258,257694.8066601605,-113434.9598911258,258694.8066601605,,,,,,,True
1623589132Womans hostel with facade design-Ground Floor Plan,1623589132Womans hostel with facade design-Ground Floor Plan__4,LINE,.50,3350.0,-104484.9598911259,254344.8066601605,-104484.9598911259,257694.8066601605,0.0,3350.0,0.0,-104484.9598911259,256019.8066601605,-104484.9598911259,257694.8066601605,-104484.9598911259,254344.8066601605,,,,,,,True
1623589132Womans hostel with facade design-Ground Floor Plan,1623589132Womans hostel with facade design-Ground Floor Plan__5,LINE,.50,3350.0,-104634.9598911259,254344.8066601605,-104634.9598911259,257694.8066601605,0.0,3350.0,0.0,-104634.9598911259,256019.8066601605,-104634.9598911259,257694.8066601605,-104634.9598911259,254344.8066601605,,,,,,,True
1623589132Womans hostel with facade design-Ground Floor Plan,1623589132Womans hostel with facade design-Ground Floor Plan__6,LINE,.50,150.0,-103484.9598911259,255519.8066601605,-103334.9598911259,255519.8066601605,150.0,0.0,,-103409.9598911259,255519.8066601605,-103484.9598911259,255519.8066601605,-103334.9598911259,255519.8066601605,,,,,,,True
1623589132Womans hostel with facade design-Ground Floor Plan,1623589132Womans hostel with facade design-Ground Floor Plan__7,LINE,.50,1175.0,-103334.9598911259,254344.8066601605,-103334.9598911259,255519.8066601605,0.0,1175.0,0.0,-103334.9598911259,254932.3066601605,-103334.9598911259,255519.8066601605,-103334.9598911259,254344.8066601605,,,,,,,True
1623589132Womans hostel with facade design-Ground Floor Plan,1623589132Womans hostel with facade design-Ground Floor Plan__8,LINE,.50,1175.0,-103484.9598911259,254344.8066601605,-103484.9598911259,255519.8066601605,0.0,1175.0,0.0,-103484.9598911259,254932.3066601605,-103484.9598911259,255519.8066601605,-103484.9598911259,254344.8066601605,,,,,,,True
1623589132Womans hostel with facade design-Ground Floor Plan,1623589132Womans hostel with facade design-Ground Floor Plan__9,LINE,.25,900.0,-103409.9598911259,255519.8066601605,-103409.9598911259,256419.8066601605,0.0,900.0,0.0,-103409.9598911259,255969.8066601605,-103409.9598911259,255519.8066601605,-103409.9598911259,256419.8066601605,,,,,,,True
